Date;Volume
04.12.2020;733911500
03.12.2020;700290000
02.12.2020;768038750
01.12.2020;1324642500
30.11.2020;1143000375
29.11.2020;NA
27.11.2020;697427625
26.11.2020;NA
25.11.2020;1162427500
24.11.2020;1328861875
23.11.2020;1159195500
22.11.2020;NA
20.11.2020;902981625
19.11.2020;606600000
18.11.2020;1143012000
17.11.2020;812200625
16.11.2020;444555000
15.11.2020;NA
13.11.2020;331093000
12.11.2020;516646000
11.11.2020;484452500
10.11.2020;459540750
09.11.2020;960675625
08.11.2020;NA
06.11.2020;637260250
05.11.2020;548776250
04.11.2020;670078125
03.11.2020;257136875
02.11.2020;349587000
01.11.2020;NA
30.10.2020;42538545
29.10.2020;459326000
28.10.2020;721728125
27.10.2020;603542625
26.10.2020;394135875
25.10.2020;NA
23.10.2020;248150250
22.10.2020;481261000
21.10.2020;632362500
20.10.2020;241214750
19.10.2020;400072000
18.10.2020;NA
16.10.2020;308372250
15.10.2020;196949250
14.10.2020;198744250
13.10.2020;241860000
12.10.2020;364391500
11.10.2020;NA
09.10.2020;191370500
08.10.2020;274920750
07.10.2020;120458000
06.10.2020;219275125
05.10.2020;239892250
04.10.2020;NA
02.10.2020;310596375
01.10.2020;628827000
30.09.2020;306463500
29.09.2020;259241500
28.09.2020;223040000
27.09.2020;NA
25.09.2020;56277520
24.09.2020;469952250
23.09.2020;401922500
22.09.2020;213996000
21.09.2020;688114000
20.09.2020;NA
18.09.2020;245868750
17.09.2020;394810250
16.09.2020;386623250
15.09.2020;218345625
14.09.2020;343151500
13.09.2020;NA
11.09.2020;249555500
10.09.2020;404790000
09.09.2020;265959000
08.09.2020;743505000
07.09.2020;NA
06.09.2020;NA
04.09.2020;838345000
03.09.2020;853714000
02.09.2020;1015174875
01.09.2020;531409000
31.08.2020;286964750
30.08.2020;NA
28.08.2020;94554015
27.08.2020;512781625
26.08.2020;378148000
25.08.2020;736092500
24.08.2020;435275750
23.08.2020;NA
21.08.2020;575253000
20.08.2020;287165250
19.08.2020;604266000
18.08.2020;650607750
17.08.2020;542457000
16.08.2020;NA
14.08.2020;591315000
13.08.2020;293353500
12.08.2020;349100875
11.08.2020;602994000
10.08.2020;587039750
09.08.2020;NA
07.08.2020;589714125
06.08.2020;293632500
05.08.2020;660454875
04.08.2020;396689000
03.08.2020;306075250
02.08.2020;NA
31.07.2020;81623125
30.07.2020;412783250
29.07.2020;506210000
28.07.2020;845345875
27.07.2020;841128000
26.07.2020;NA
24.07.2020;149902000
23.07.2020;317121875
22.07.2020;146952000
21.07.2020;251565000
20.07.2020;111719250
19.07.2020;NA
17.07.2020;76506875
16.07.2020;153514750
15.07.2020;107675125
14.07.2020;133347375
13.07.2020;131776000
12.07.2020;NA
10.07.2020;106662500
09.07.2020;278117000
08.07.2020;242778000
07.07.2020;138868000
06.07.2020;317887375
05.07.2020;NA
03.07.2020;NA
02.07.2020;300776000
01.07.2020;221836875
30.06.2020;131846000
29.06.2020;125868750
28.06.2020;NA
26.06.2020;46382230
25.06.2020;232025625
24.06.2020;391317500
23.06.2020;184642125
22.06.2020;239527750
21.06.2020;NA
19.06.2020;162690000
18.06.2020;100767250
17.06.2020;151391625
16.06.2020;163443000
15.06.2020;275096250
14.06.2020;NA
12.06.2020;181383125
11.06.2020;522982875
10.06.2020;347696000
09.06.2020;208440375
08.06.2020;184146000
07.06.2020;NA
05.06.2020;221722875
04.06.2020;211737000
03.06.2020;152918250
02.06.2020;678790625
01.06.2020;175497000
31.05.2020;NA
29.05.2020;NA
28.05.2020;284665750
27.05.2020;254532500
26.05.2020;369630375
25.05.2020;NA
24.05.2020;NA
22.05.2020;209304000
21.05.2020;410520000
20.05.2020;303402500
19.05.2020;325368750
18.05.2020;375656500
17.05.2020;NA
15.05.2020;378262500
14.05.2020;424096875
13.05.2020;226437500
12.05.2020;303176250
11.05.2020;846841125
10.05.2020;NA
08.05.2020;338175000
07.05.2020;586729500
06.05.2020;290784375
05.05.2020;211068000
04.05.2020;178552500
03.05.2020;NA
01.05.2020;226874250
30.04.2020;469981000
29.04.2020;404403125
28.04.2020;68750000
