Date;BITFINEX;BITSTAMP;HITBTC;COINBASE;BINANCE
29.03.2018;522822219,4919;156976962,9458;17488332,1250;196514324,7302;387269935,1644
30.03.2018;724685486,1623;199403709,0833;11322629,6945;200519660,2948;446704975,3747
31.03.2018;464650502,4639;80275197,1943;18673308,0690;103621068,0976;255274038,3746
01.04.2018;372209343,6272;123008518,0089;21904608,3678;105235276,2554;300259096,4587
02.04.2018;310438891,0689;96170291,7298;20639098,5702;101048985,8629;226663839,8680
03.04.2018;353045505,5154;119364065,6922;22928525,0617;140210939,6374;279823127,4001
04.04.2018;335147482,0842;107369728,7871;15921174,9760;102126694,1890;286980095,8826
05.04.2018;306535981,0430;80546110,3372;35215395,2654;98084672,0680;264247403,0601
06.04.2018;272826415,9612;56112968,6583;20138237,2265;70787397,9716;181241241,1386
07.04.2018;248538092,1199;53050634,3069;23225131,7488;71362473,6216;222524557,8136
08.04.2018;202486831,3792;30587540,1400;20060399,0495;44203945,8039;150379410,2720
09.04.2018;487597336,4268;68514831,7276;16696306,4529;94496561,4886;231143548,0251
10.04.2018;172186173,5647;44362744,2965;34765481,9370;51154125,5538;152801894,4094
11.04.2018;192259359,5298;40461691,5550;50955142,0040;56814459,4404;166876156,6119
12.04.2018;706082031,7410;150922167,1416;74624479,6220;246013910,4279;513898425,0050
13.04.2018;468160911,2879;154826561,4271;61109428,5900;173538748,8576;433608277,0913
14.04.2018;206520962,5767;71487909,2857;30154966,9470;74733528,5138;252938985,7825
15.04.2018;237450402,2516;63014551,5987;48121033,9686;82713253,4273;233494849,3096
16.04.2018;263031161,4653;87456050,5922;58441188,1732;107886722,8490;295692789,1259
17.04.2018;209442777,5915;73204794,2108;49913957,1432;84448291,6910;253523922,1779
18.04.2018;220648796,1402;75412466,8272;54030794,9400;88457165,0234;220418001,2706
19.04.2018;234060950,5040;78055081,3980;52203632,7241;98760418,2165;224448429,3070
20.04.2018;425372878,1033;142304316,4905;66684645,6841;145536545,9545;352466508,1979
21.04.2018;335079829,4812;136810755,4911;56558559,3360;109398414,7030;364388600,0300
22.04.2018;260027118,1525;82154937,1056;57162767,6640;68647402,1926;258850262,4938
23.04.2018;207661783,2171;92029380,8891;51715436,0868;71799074,3944;230837975,1914
24.04.2018;548436574,7984;196757668,3050;77348436,3948;201035424,1333;445049041,7386
25.04.2018;644764388,9303;292862958,9979;78561660,7500;280006090,2552;719443803,7809
26.04.2018;374569718,6351;185888047,6323;71711102,7840;141079409,9769;401220619,1342
27.04.2018;264633684,9048;101485855,2145;59915577,0790;107849417,5550;332019643,2974
28.04.2018;320521440,2167;145394980,9356;63349043,0274;82565873,9775;324933006,4702
29.04.2018;254902817,2916;102776995,7723;69801584,6798;74529849,8600;359333437,4797
30.04.2018;207436900,0122;74729305,7852;66700397,1217;81921346,8844;323629155,2286
01.05.2018;226456128,5412;110056425,5031;46709777,5818;103173261,2717;372098172,4775
02.05.2018;182878565,7621;97524263,6462;8759623,7253;81111726,5109;241586354,7843
03.05.2018;338877052,1297;113585239,9427;60341367,9246;145462587,2005;377991785,8080
04.05.2018;233808831,2252;71037576,7308;59982605,7477;104965086,6689;278612667,5547
05.05.2018;280126833,7018;72722773,5152;60923854,4666;92032790,4987;246501540,9551
06.05.2018;249902068,1536;78485520,1024;52698380,0627;72883696,8216;267461382,6119
07.05.2018;233327225,9232;127442486,9858;57565554,4533;92688065,9682;316331088,2519
08.05.2018;230623898,2216;104679531,3223;55848859,0254;87758131,4585;234593612,5101
09.05.2018;210439512,6317;105826680,6293;60656320,3698;80249933,0653;239020516,8097
10.05.2018;209612578,7193;106110954,6150;57797416,9152;16579350,2064;225550694,6022
11.05.2018;443706545,8959;171457767,9649;76468391,0496;147166904,6940;405107203,7124
12.05.2018;308850983,5369;131167345,2245;65671586,3414;96547848,2881;340680607,4982
13.05.2018;196463635,3623;85532816,7616;50104919,5948;58010938,0530;222485872,5300
14.05.2018;316475443,2681;163610166,1500;37765834,9392;122487841,1320;323918646,7175
15.05.2018;216942270,1162;105020652,1705;59512492,6580;92338766,9615;238010302,8228
16.05.2018;267426777,0390;106044454,4153;57923042,2524;90602438,4202;259318888,5036
17.05.2018;198974064,1044;66626605,3121;60985696,7084;68317938,1918;204573494,3574
18.05.2018;187419538,7147;59236817,2782;54987434,3634;67879357,1117;193439083,5182
19.05.2018;109090727,3557;31147484,4480;69386873,0388;34576511,4650;141561886,8422
20.05.2018;129024318,6439;45275711,8278;67847304,6810;38213709,0245;170173426,8273
21.05.2018;136758374,6707;51416070,6076;67182993,5320;43023752,6515;180335759,1323
22.05.2018;161115508,0925;72663597,4076;70955222,4018;55011501,1308;189144480,2976
23.05.2018;297231386,2248;132320227,4546;76064864,4189;119271802,9524;321913676,6052
24.05.2018;293325829,3489;88374749,2991;74459805,5064;86272423,3285;286679636,4116
25.05.2018;192616555,9363;75375564,3697;76969143,0030;64667160,7870;199399856,6645
26.05.2018;100637258,5705;29663498,4864;70039531,8396;33551247,3754;142748828,4759
27.05.2018;116263410,8915;23103508,6341;61301191,6114;33559837,4989;137290086,0651
